학과명,대계열
교양교직부,사회
교양교직학부,사회
교육공학과,사회
교육과,사회
교육과학과,사회
교육과학부,사회
교육심리전공,사회
교육심리학과,사회
교육철학전공,사회
교육학과,사회
교육학부,사회
교육학전공,사회
교육행정전공,사회
교직과,사회
국제평생교육학과,사회
사범계,사회
사범대학,사회
사범학부,사회
인간개발학부,사회
평생교육학과,사회
교육미디어학과,사회
교육심리학전공,사회
교양교직과,사회
교육학・국민윤리교육과군,사회
교양교직운영단,사회
기초과정(사범대학),사회
교육학과(심화전공),사회
교육콘텐츠학과,사회
교직교육과,사회
교육학・윤리교육과군,사회
교직학부,사회
교직과정,사회
교육과 교육학전공,사회
교리교육학전공,사회
교직학과,사회
사범계열,사회
교양・교직학부,사회
교직부,사회
교양교직과정부,사회
교육과학계열,사회
교육행정학과,사회
교직과정부,사회
교양대학(교육),사회
교육/경영계열,사회
평생・직업교육학과,사회
평생교육・청소년학과,사회
산업인력개발학전공,자연
유아보육학과,공학
영유아발달치료전공,공학
보육학과,사회
아동보육전공,사회
아동보육학과,사회
아동보육학전공,사회
영유아보육학과,사회
유아교육과,사회
유아교육전공,사회
유아교육학과,사회
유아교육학전공,사회
유아영재교육학과,사회
유아교육학부,사회
기독교보육학전공,사회
한방보건복지학부(대학) 영유아보육학과,사회
한방보건복지학부(대학) 유아교육과,사회
인문사회대학 유아교육과,사회
불교문화대학 유아교육과,사회
보육과,사회
유아교육과(심화전공),사회
유아교육과 불교문화대학,사회
문화산업대학 유아교육과,사회
계약학과(영유아보육학과),사회
특수보육학전공,사회
불교아동보육학과,사회
영유아학과,사회
아동보육교육학부,사회
초등유아교육과(심화과정),사회
아동・가족학과,예체능
교육과 청소년교육전공,사회
예술평생교육학과,사회
유아특수교육과,사회
유아특수교육전공,사회
중등특수교육전공,사회
청각학전공,사회
초등특수교육과,사회
초등특수교육전공,사회
치료특수교육과,사회
치료특수교육전공,사회
특수교육과,사회
특수교육전공,사회
특수교육학과,사회
특수교육학부,사회
특수ㆍ유아교육학부,사회
특수체육교육,사회
특수체육교육과,사회
