name,category
아동영어보육과,0
아동영어보육학과,0
유아특수보육전공,1
특수보육계열,1
컴퓨터보육과,2
가정보육과,2
보육과,2
보육상담전공,2
보육학과,2
사회복지보육과,2
생활보육과,2
아동미술보육전공,2
아동보육과,2
아동복지보육과,2
영유아보육과,2
유아교육과,2
유아교육전공,2
유아교육학과,2
유아미술음악전공,2
아동미술보육과,2
아동미술복지보육과,2
아동보육학습지도과,2
아동생활보육과,2
아동컴퓨터보육과,2
아동보육전공,2
방과후아동보육과,2
아동보육복지과,2
유아특수보육과,2
아동미술보육계열,2
아동보육계열,2
유아보육과,2
유아보육미술과,2
사회복지보육전공,2
특수보육과,2
아동문학보육과,2
아동미술복지보육전공,2
유아교육과년제,2
영유아보육복지과,2
아동복지미술보육과,2
유아교육과인문,2
미술보육과,2
아동보육복지학과,2
영유아보육전공,2
아동미디어미술보육과,2
아동표현미술보육과,2
유아교육학과년제,2
영재미술보육전공,2
보육복지과,2
아동보육학과,2
영유아보육학부,2
어린이영어보육과,2
아동보육복지전공,2
사회복지과아동보육복지전공,2
유아특수보육과년제,2
아동보육복지상담과,2
아동보육과인문사회,2
아동미술보육과년제,2
유아보육문화계열,2
영유아보육학과,2
아동복지보육과년제,2
유아보육계열,2
유아안전보육과,2
아동건강보육과,2
아동보육과년제,2
아동문화계열,2
아동상담보육과,2
유아특수보육학과,2
아동컴퓨터보육전공,3
아동조형미술보육과,6
아동미디어미술보육전공,6
아동표현미술보육전공,6
아동조형미술보육전공,6
유아특수치료교육,2
유아특수치료교육과,2
유아특수재활과,2
장애유아보육과,2
특수아동재활과,2
유아특수언어재활과,2
유아특수재활복지과,2
특수아동언어재활과,2
유아특수재활과년제,2
특수복지교육과,2
특수아동학과,2
장애유아보육학과,2
관광아동영어과,0
아동영어과,0
어린이영어지도과,0
아동영어지도과,0
아동영어지도전,0
영어과아동영어지도전공,0
유아영어지도과년제,0
사회교육과,2
컴퓨터교육학과,2
컴퓨터교육과,2
아동미술교육,2
아동예능지도과,2
아동예술교육과,2
어린이컴퓨터교육전공,2
아동미술교육과,2
아동영어지도전공,2
아동복지미술과,2
아동미술과년제인문,2
아동체육과인문,2
아동체육무용과,2
미술심리보육과,2
초등컴퓨터지도전공,3
아동무용지도자과,6
아동미술과,6
아동미술전공,6
아동조형미술과,6
아동미술지도전공,6
아동미술과년제,6
아동미술학과,6
아동미술지도과,6
아동미술지도학과,6
아동음악과,6
아동음악전공,6
아동음악지도전공,6
아동음악보육과,6
아동음악과년제,6
보건환경교육과,2
평생교육과,2
평생교육전공,2
환경교육과,2
아동평생교육학부,2
생활문화과,1
디자인계열,6
디자인학부,6
디자인학전공,6
디자인공학과,6
디자인과,6
예술디자인계열,6
디자인학과,6
디자인스쿨,6
광고보도영상과,1
광고창작과,1
광고홍보디자인전공,1
광고홍보영상과,1
홍보,1
홍보과,1
게임기획비즈니스과,1
뉴미디어과,1
뉴미디어학부,1
디지털미디어과,1
디지털미디어학과,1
매체예술,1
매체정보과,1
문예영상창작과,1
방송계열,1
방송극작,1
방송극작과,1
방송기술계열,1
방송기술과,1
방송매체과,1
방송미디어정보과,1
방송보도과,1
방송보도제작계열,1
방송설비과,1
방송연예생활음악과,1
방송연예제작과,1
방송영상계열,1
방송영상과,1
방송영상사진과,1
방송영상제작계열,1
방송영상학과군,1
방송영상학전공,1
방송이벤트설비전공,1
방송정보전자과,1
방송정보학과,1
방송제작과,1
방송제작기술과,1
신문방송과,1
영상문예과,1
영상문예창작과,1
웹미디어전공,1
인터넷미디어학부,1
인터넷방송전공,1
인터넷방송,1
인터넷방송계열,1
인터넷방송과,1
컴퓨터미디어계열,1
컴퓨터미디어학부,1
컴퓨터창작과,1
화상매체과,1
디지털방송영상과,1
미디어문예창작과,1
아동미디어과,1
인터넷신문방송과,1
매체예술과,1
미디어정보계열,1
디지털방송과,1
방송영상전공,1
디지털미디어전공,1
디지털방송미디어과,1
방송연예제작학부,1
광고디자인영상과,1
제작기술전공,1
방송아나운서과,1
미디어커뮤니케이션과,1
방송연예음악전공,1
방송기술전공,1
방송미디어정보전공,1
영상시나리오창작과,1
방송영상과년제,1
디지털방송과년제,1
정보미디어학부,1
방송인터넷기술전공,1
방송광고제작과,1
방송보도제작과,1
방송미디어학과,1
